method,__init__,1,12,,,,,,
method,action_epsilon_greedy,1,5,,,,,,
method,update_value,1,8,,,,,,
method,episode,1,14,,,,,,
method,iter_episode,1,4,,,,,,
class,OffPolicyControl:,1,58,,,8,,,2
method,select_polices,1,13,,9.333333333,,,,
method,select_polices,2,0,,,,,,
method,__init__,2,30,,,,,,
method,map_index_tuple_board,2,8,,,,,,
method,reset,2,3,,,,,,
method,environment,2,7,,,,,,
method,validate_locked_move,2,9,,,,,,
method,get_possible_actions,2,42,,,,,,
class,MDPs:,2,216,,,9,,,
method,step,2,116,,26.875,,,,
