method,__init__,2,1
method,_random_state,3,2
method,_reset,4,3
method,do_action,5,4
method,_is_wall,6,5
method,_is_terminal,7,6
class,Env:,7,6
method,__init__,2,1
method,_random_state,3,2
method,_reset,4,3
method,_new_random_destiny,5,4
method,do_action,6,5
method,_is_wall,7,6
method,_is_house,8,7
method,_is_bridge,9,8
class,TaxiEnv:,9,8
method,__init__,2,1
method,argmaxA_Q,3,2
method,episode_step,4,3
method,control,5,4
method,generate_policy,6,5
method,plot_scenario,7,6
method,policy_to_string,8,7
method,main,9,8
