method,get_area,0,9,,,,
method,get_area,1,0,,,,
method,__init__,1,5,,,,
method,get_value,1,3,,,,
class,Cell:,1,14,,,,
method,set_value,1,5,,,,
method,set_value,2,0,,,,
method,__init__,2,8,,,,
method,get_dimensions,2,3,,,,
method,get_current_state,2,14,,,,
method,do_action,2,3,,,,
method,do_action_final_action,2,5,,,4,
method,reset,2,7,,,,
method,plan_trip,2,9,,,,
method,set_state,2,3,,,,
method,is_terminal,2,3,,,,
method,is_state_terminal,2,3,,,,
method,get_board,2,3,,,,
method,is_valid,2,3,,,,
method,is_state_valid,2,3,,,,
class,TaxiEnvironment:,2,101,,,,16
method,reward_function,2,33,,grid,6.666666667,
method,reward_function,3,0,,,,
method,__init__,3,12,,,,
method,__initdic__,3,6,,,,
method,run_til_convergence,3,16,,,,
method,run_episode,3,26,,,,
method,randomAction,3,3,,,,
class,Learner:,3,69,,,,8
method,step,3,5,,learner,9.714285714,
method,step,4,0,,,,
method,__init__,4,3,,,,
method,check_policy_convergence,4,20,,,,
method,check_values_convergence,4,25,,,,
method,create_taxi_qtable,4,35,,,,
method,taxi_check_policy_convergence,4,25,,,,
class,Agent:,4,149,,,,8
method,taxi_check_values_convergence,4,40,,agent,21.14285714,
